GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP23,GPIO23
GP24,GPIO24
GP25,GPIO25
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
GP29,GPIO29
GP30,GPIO30
GP31,GPIO31
GP32,GPIO32
GP33,GPIO33
GP34,GPIO34
GP35,GPIO35
GP36,GPIO36
GP37,GPIO37
GP38,GPIO38
GP39,GPIO39
GP40,GPIO40
GP41,GPIO41
GP42,GPIO42
GP43,GPIO43
GP44,GPIO44
GP45,GPIO45
GP46,GPIO46
LED,GPIO29
NEOPIXEL,GPIO32
BUTTON1,GPIO0
BOOT,GPIO0
BUTTON2,GPIO4
BUTTON3,GPIO5
SDA,GPIO20
SCL,GPIO21
SD_SCK,GPIO34
SD_MOSI,GPIO35
SD_MISO,GPIO36
SD_CS,GPIO39
SDIO_CLOCK,GPIO34
SDIO_COMMAND,GPIO35
SDIO_DATA0,GPIO36
SDIO_DATA1,GPIO37
SDIO_DATA2,GPIO38
SDIO_DATA3,GPIO39
SD_CARD_DETECT,GPIO33
USB_HOST_DP,GPIO1
USB_HOST_DM,GPIO2
USB_HOST_5V_POWER,GPIO11
I2S_DIN,GPIO24
I2S_MCLK,GPIO25
I2S_BCLK,GPIO26
I2S_WS,GPIO27
A0,GPIO40
A1,GPIO41
A2,GPIO42
A3,GPIO43
A4,GPIO44
A5,GPIO45
D6,GPIO6
D7,GPIO7
D8,GPIO8
D9,GPIO9
D10,GPIO10
HSTX0,GPIO12
HSTX1,GPIO13
HSTX2,GPIO14
HSTX3,GPIO15
HSTX4,GPIO16
HSTX5,GPIO17
HSTX6,GPIO18
HSTX7,GPIO19
WIFI_SCK,GPIO30
WIFI_MOSI,GPIO31
WIFI_MISO,GPIO28
WIFI_CS,GPIO46
WIFI_RESET,GPIO22
WIFI_BUSY,GPIO3
WIFI_IRQ,GPIO23
PERIPH_RESET,GPIO22
